Filename,Full Path,Path,Sample,Start Time,Error,Output,Check Duration (s)
Gone in Sixty Seconds (2000) Remux-1080p.mkv,/Volumes/media/media/movies/Gone in Sixty Seconds (2000)/Gone in Sixty Seconds (2000) Remux-1080p.mkv,/Volumes/media/media/movies/Gone in Sixty Seconds (2000),2,2849.99,no,,1.77
Gone in Sixty Seconds (2000) Remux-1080p.mkv,/Volumes/media/media/movies/Gone in Sixty Seconds (2000)/Gone in Sixty Seconds (2000) Remux-1080p.mkv,/Volumes/media/media/movies/Gone in Sixty Seconds (2000),3,6153.47,no,,2.23
Gone in Sixty Seconds (2000) Remux-1080p.mkv,/Volumes/media/media/movies/Gone in Sixty Seconds (2000)/Gone in Sixty Seconds (2000) Remux-1080p.mkv,/Volumes/media/media/movies/Gone in Sixty Seconds (2000),4,5803.44,no,,2.9
Gone in Sixty Seconds (2000) Remux-1080p.mkv,/Volumes/media/media/movies/Gone in Sixty Seconds (2000)/Gone in Sixty Seconds (2000) Remux-1080p.mkv,/Volumes/media/media/movies/Gone in Sixty Seconds (2000),5,6654.64,no,,2.77
Guardians of the Galaxy (2014) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy (2014)/Guardians of the Galaxy (2014) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy (2014),1,0,no,,0.96
Guardians of the Galaxy (2014) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy (2014)/Guardians of the Galaxy (2014) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy (2014),2,4455.98,no,,3.99
Guardians of the Galaxy (2014) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy (2014)/Guardians of the Galaxy (2014) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy (2014),3,3621.83,no,,5.05
Guardians of the Galaxy (2014) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy (2014)/Guardians of the Galaxy (2014) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy (2014),4,363.15,no,,3.58
Guardians of the Galaxy (2014) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy (2014)/Guardians of the Galaxy (2014) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy (2014),5,3228.97,no,,5.81
Guardians of the Galaxy Vol. 2 (2017) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 2 (2017)/Guardians of the Galaxy Vol. 2 (2017) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 2 (2017),1,0,no,,3.83
Guardians of the Galaxy Vol. 2 (2017) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 2 (2017)/Guardians of the Galaxy Vol. 2 (2017) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 2 (2017),2,7558.42,no,,5.98
Guardians of the Galaxy Vol. 2 (2017) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 2 (2017)/Guardians of the Galaxy Vol. 2 (2017) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 2 (2017),3,3812.51,no,,5.48
Guardians of the Galaxy Vol. 2 (2017) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 2 (2017)/Guardians of the Galaxy Vol. 2 (2017) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 2 (2017),4,853.68,no,,4.2
