Filename,Full Path,Path,Sample,Start Time,Error,Output,Check Duration (s)
71° North - Team - S01E01 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E01 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,2,1604.96,no,,1.48
71° North - Team - S01E02 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E02 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,1,0,no,,1.27
71° North - Team - S01E02 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E02 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,2,1199.3,no,,1.76
71° North - Team - S01E03 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E03 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,1,0,no,,1.05
71° North - Team - S01E03 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E03 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,2,2256.26,no,,1.85
71° North - Team - S01E04 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E04 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,1,0,no,,1.1
71° North - Team - S01E04 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E04 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,2,103.73,no,,2.51
71° North - Team - S01E05 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E05 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,1,0,no,,1.25
71° North - Team - S01E05 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E05 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,2,722.33,no,,1.8
71° North - Team - S01E06 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E06 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,1,0,no,,0.95
71° North - Team - S01E06 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E06 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,2,822.44,no,,1.46
71° North - Team - S01E07 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E07 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,1,0,no,,1.48
71° North - Team - S01E07 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E07 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,2,1735.76,no,,1.66
