"File","Extension","File Path","Filename","File Size","Container Format","Codec","Codec Long Name","Profile","Level","Bitrate","Width","Height","Color Space","Color Primaries","Color Transfer","Color Range","Chroma Location","Field Order","Refs","Bits per Raw Sample","Pixel Format","HDR","Bit Depth","Duration","Frame Rate","Audio Codecs","Audio Codec Long Names","Audio Channels","Audio Sample Rates","Audio Bitrates","Audio Bit Depth","Audio Stream Count","Subtitle Languages","Subtitle Formats","Subtitle Stream Count","Creation Date","Modification Date","Issue Detected","Issue Description"
"/Volumes/media/media/movies/Solo A Star Wars Story (2018)/Solo A Star Wars Story (2018) Remux-2160p.mkv","mkv","/Volumes/media/media/movies/Solo A Star Wars Story (2018)","Solo A Star Wars Story (2018) Remux-2160p.mkv","49533234436","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","153","49007676","3840","2160","bt2020nc","bt2020","smpte2084","tv","topleft","N/A","1","N/A","yuv420p10le","Yes","10","8085.792000","23.976","truehd, ac3","TrueHD, ATSC A/52A (AC-3)","8, 6","48000, 48000","N/A, 640000","24, N/A","2","eng, eng, chi, chi, fre, kor, spa, tha","hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle","8","1664792244.4681387","1664792244.4681387","Yes","Non-standard audio codec(s): truehd && Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && High bitrate (49.01 Mbps) may cause buffering && High bit depth video: 10-bit && HDR content may require tone-mapping && High number of subtitle streams: 8"
"/Volumes/media/media/movies/Spider-Man Far from Home (2019)/Spider-Man Far From Home (2019) Remux-2160p.mkv","mkv","/Volumes/media/media/movies/Spider-Man Far from Home (2019)","Spider-Man Far From Home (2019) Remux-2160p.mkv","59157510437","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","153","60957462","3840","2160","bt2020nc","bt2020","smpte2084","tv","topleft","N/A","1","N/A","yuv420p10le","Yes","10","7763.776000","23.976","truehd, ac3","TrueHD, ATSC A/52A (AC-3)","8, 6","48000, 48000","N/A, 640000","24, N/A","2","eng, eng, ara, bul, chi, chi, chi, hrv, cze, dan, dut, est, fin, fre, ger, gre, heb, hun, ice, ind, ita, kaz, kor, lav, lit, may, nor, pol, por, por, rum, rus, srp, slo, slv, spa, spa, swe, tha, tur, ukr, vie","hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle","42","1697423599.0198686","1697423599.0198686","Yes","Non-standard audio codec(s): truehd && Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && High bitrate (60.96 Mbps) may cause buffering && High bit depth video: 10-bit && HDR content may require tone-mapping && High number of subtitle streams: 42"
"/Volumes/media/media/movies/Star Wars (1977)/Star Wars (1977) WEBDL-2160p.mkv","mkv","/Volumes/media/media/movies/Star Wars (1977)","Star Wars (1977) WEBDL-2160p.mkv","4781833990","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","5110598","3840","2160","bt709","bt709","bt709","tv","left","progressive","1","N/A","yuv420p10le","No","10","7485.361000","23.976","opus","Opus (Opus Interactive Audio Codec)","6","48000","N/A","N/A","1","eng, eng","subrip, subrip","2","1724588289.5939925","1724588289.5939925","Yes","High bit depth video: 10-bit"
"/Volumes/media/media/movies/Star Wars Episode I - The Phantom Menace (1999)/Star Wars Episode I - The Phantom Menace (1999) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/Star Wars Episode I - The Phantom Menace (1999)","Star Wars Episode I - The Phantom Menace (1999) Bluray-1080p.mkv","2607734126","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","2553170","1920","816","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","8170.966000","23.976","aac","AAC (Advanced Audio Coding)","6","48000","N/A","N/A","1","","","0","1724582236.8284476","1724582236.8284476","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 1920x816"
"/Volumes/media/media/movies/Star Wars Episode II - Attack of the Clones (2002)/Star Wars Episode II - Attack of the Clones (2002) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/Star Wars Episode II - Attack of the Clones (2002)","Star Wars Episode II - Attack of the Clones (2002) Bluray-1080p.mkv","2168627255","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","2029617","1920","824","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","8547.925000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1724582676.8331916","1724582676.8331916","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 1920x824"
"/Volumes/media/media/movies/Star Wars Episode III - Revenge of the Sith (2005)/Star Wars Episode III - Revenge of the Sith (2005) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/Star Wars Episode III - Revenge of the Sith (2005)","Star Wars Episode III - Revenge of the Sith (2005) Bluray-1080p.mkv","12834064441","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","12214385","1918","816","bt709","bt709","bt709","tv","left","N/A","1","N/A","yuv420p","No","N/A","8405.868000","23.976","dts, dts, ac3, ac3, ac3, dts, ac3, ac3, ac3","DCA (DTS Coherent Acoustics), DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3), DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3)","7, 7, 6, 6, 6, 6, 6, 2, 2","48000, 48000, 48000, 48000, 48000, 48000, 48000, 48000, 48000","N/A, 1536000, 448000, 448000, 448000, 768000, 448000, 224000, 224000","24, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A","9","N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A","hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle","29","1697830475.3475027","1697830475.3475027","Yes","Non-standard audio codec(s): dts, dts, dts && Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && Non-standard resolution: 1918x816 && High number of subtitle streams: 29 && Multiple audio streams: 9"
"/Volumes/media/media/movies/Star Wars The Force Awakens (2015)/Star Wars The Force Awakens (2015) WEBDL-2160p.mkv","mkv","/Volumes/media/media/movies/Star Wars The Force Awakens (2015)","Star Wars The Force Awakens (2015) WEBDL-2160p.mkv","17867453477","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","17145359","3840","2160","bt2020nc","bt2020","smpte2084","tv","left","N/A","1","N/A","yuv420p10le","Yes","10","8336.928000","23.976","eac3","ATSC A/52B (AC-3, E-AC-3)","6","48000","768000","N/A","1","dan, fin, nor, swe","subrip, subrip, subrip, subrip","4","1664762263.0290375","1664762263.0290375","Yes","High bit depth video: 10-bit && HDR content may require tone-mapping"
"/Volumes/media/media/movies/Star Wars The Last Jedi (2017)/Star Wars The Last Jedi (2017) WEBDL-2160p.mkv","mkv","/Volumes/media/media/movies/Star Wars The Last Jedi (2017)","Star Wars The Last Jedi (2017) WEBDL-2160p.mkv","19596396593","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","17212469","3840","2160","N/A","N/A","N/A","pc","left","N/A","1","N/A","yuv420p10le","No","10","9108.000000","23.976","eac3","ATSC A/52B (AC-3, E-AC-3)","6","48000","768000","N/A","1","eng, eng, cze, dan, ger, gre, spa, spa, fin, fre, fre, hun, ice, ita, jpn, kor, dut, nor, pol, por, por, rum, slo, swe, tur, chi, chi, chi, spa, fre, por","subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip","31","1710745681.0","1710745681.0","Yes","High bit depth video: 10-bit && High number of subtitle streams: 31"
"/Volumes/media/media/movies/Star Wars The Rise of Skywalker (2019)/Star Wars The Rise of Skywalker (2019) Remux-2160p.mkv","mkv","/Volumes/media/media/movies/Star Wars The Rise of Skywalker (2019)","Star Wars The Rise of Skywalker (2019) Remux-2160p.mkv","56366279244","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","153","52967861","3840","2160","bt2020nc","bt2020","smpte2084","tv","topleft","N/A","1","N/A","yuv420p10le","Yes","10","8513.280000","23.976","truehd, ac3","TrueHD, ATSC A/52A (AC-3)","8, 6","48000, 48000","N/A, 640000","24, N/A","2","eng, eng, eng, chi, chi, dan, fin, fre, kor, nor, por, spa, swe","hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle","13","1664776126.2605274","1664776126.2605274","Yes","Non-standard audio codec(s): truehd && Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && High bitrate (52.97 Mbps) may cause buffering && High bit depth video: 10-bit && HDR content may require tone-mapping && High number of subtitle streams: 13"
"/Volumes/media/media/movies/Straight Outta Compton (2015)/Straight Outta Compton (2015) Remux-2160p Proper.mkv","mkv","/Volumes/media/media/movies/Straight Outta Compton (2015)","Straight Outta Compton (2015) Remux-2160p Proper.mkv","67713709709","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","153","54133550","3840","2160","bt2020nc","bt2020","smpte2084","tv","topleft","N/A","1","N/A","yuv420p10le","Yes","10","10006.912000","23.976","dts, ac3","DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3)","8, 2","48000, 48000","N/A, 192000","24, N/A","2","eng, dan, dut, fin, fre, ger, nor, swe, eng, fre, ger","hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle","11","1680813428.5682337","1680813428.5682337","Yes","Non-standard audio codec(s): dts && Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && High bitrate (54.13 Mbps) may cause buffering && High bit depth video: 10-bit && HDR content may require tone-mapping && High number of subtitle streams: 11"
"/Volumes/media/media/movies/Tangled (2010)/Tangled (2010) WEBDL-2160p.mkv","mkv","/Volumes/media/media/movies/Tangled (2010)","Tangled (2010) WEBDL-2160p.mkv","12899727886","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","17156539","3840","2160","N/A","N/A","N/A","pc","left","N/A","1","N/A","yuv420p10le","No","10","6015.072000","23.976","eac3","ATSC A/52B (AC-3, E-AC-3)","6","48000","768000","N/A","1","eng, eng, cze, gre, spa, hun, ice, pol, rum, slo, tur, chi, chi, chi","subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip","14","1710962007.0","1710962007.0","Yes","High bit depth video: 10-bit && High number of subtitle streams: 14"
"/Volumes/media/media/movies/Tarzan (1999)/Tarzan (1999) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/Tarzan (1999)","Tarzan (1999) Bluray-1080p.mkv","2594897442","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","3908237","1920","1080","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","5311.648000","23.976","ac3, ac3","ATSC A/52A (AC-3), ATSC A/52A (AC-3)","6, 6","48000, 48000","640000, 448000","N/A, N/A","2","eng, eng, nor","subrip, ass, ass","3","1724583604.4520612","1724583604.4520612","No","No issues detected"
"/Volumes/media/media/movies/Tenet (2020)/Tenet (2020) Bluray-2160p.mkv","mkv","/Volumes/media/media/movies/Tenet (2020)","Tenet (2020) Bluray-2160p.mkv","7880283844","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","6996885","3840","2160","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p10le","No","10","9010.048000","23.976","aac","AAC (Advanced Audio Coding)","6","48000","N/A","N/A","1","eng, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A","subrip, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle","22","1660631756.6594558","1660631756.6594558","Yes","Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && High bit depth video: 10-bit && High number of subtitle streams: 22"
"/Volumes/media/media/movies/Terkel in Trouble (2004)/Terkel in Trouble (2004) WEBDL-1080p.mkv","mkv","/Volumes/media/media/movies/Terkel in Trouble (2004)","Terkel in Trouble (2004) WEBDL-1080p.mkv","2257571827","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","3904698","1920","1080","bt709","bt709","bt709","tv","left","progressive","1","N/A","yuv420p","No","N/A","4625.344000","25.000","ac3, ac3, ac3","ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3)","6, 6, 6","48000, 48000, 48000","448000, 640000, 448000","N/A, N/A, N/A","3","nor, dan, swe","subrip, subrip, dvd_subtitle","3","1724585063.6920037","1724585063.6920037","Yes","Potentially problematic subtitle format(s): dvd_subtitle"
"/Volumes/media/media/movies/The Adventures of Ichabod and Mr. Toad (1949)/The Adventures of Ichabod and Mr. Toad (1949) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/The Adventures of Ichabod and Mr. Toad (1949)","The Adventures of Ichabod and Mr. Toad (1949) Bluray-1080p.mkv","2493787469","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","4883647","1440","1080","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","4085.123000","23.976","dts","DCA (DTS Coherent Acoustics)","6","48000","1536000","N/A","1","nor, eng","subrip, subrip","2","1724585499.4063194","1724585499.4063194","Yes","Non-standard audio codec(s): dts && Non-standard resolution: 1440x1080"
"/Volumes/media/media/movies/The Aristocats (1970)/The Aristocats (1970) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/The Aristocats (1970)","The Aristocats (1970) Bluray-1080p.mkv","2694361814","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","4567324","1808","1080","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","4719.370000","23.976","dts, ac3","DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3)","6, 6","48000, 48000","1536000, 384000","N/A, N/A","2","eng, eng, nor, nor","subrip, subrip, subrip, subrip","4","1724586379.9142063","1724586379.9142063","Yes","Non-standard audio codec(s): dts && Non-standard resolution: 1808x1080"
"/Volumes/media/media/movies/The Big Lebowski (1998)/The Big Lebowski (1998) Remux-2160p.mkv","mkv","/Volumes/media/media/movies/The Big Lebowski (1998)","The Big Lebowski (1998) Remux-2160p.mkv","56085711064","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","153","63804817","3840","2160","bt2020nc","bt2020","smpte2084","tv","topleft","N/A","1","N/A","yuv420p10le","Yes","10","7032.160000","23.976","dts","DCA (DTS Coherent Acoustics)","8","48000","N/A","24","1","eng, fre, jpn, por, spa","hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle","5","1680839416.7437427","1680839416.7437427","Yes","Non-standard audio codec(s): dts && Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && High bitrate (63.80 Mbps) may cause buffering && High bit depth video: 10-bit && HDR content may require tone-mapping"
"/Volumes/media/media/movies/The Big Short (2015)/The Big Short (2015) Remux-1080p.mkv","mkv","/Volumes/media/media/movies/The Big Short (2015)","The Big Short (2015) Remux-1080p.mkv","10944700565","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","11202569","1920","1080","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","7815.850000","23.976","dts","DCA (DTS Coherent Acoustics)","8","48000","N/A","24","1","eng, eng, fre, spa, por","hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle","5","1724591169.7137625","1724591169.7137625","Yes","Non-standard audio codec(s): dts && Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle"
"/Volumes/media/media/movies/The Black Cauldron (1985)/The Black Cauldron (1985) WEBRip-2160p.mkv","mkv","/Volumes/media/media/movies/The Black Cauldron (1985)","The Black Cauldron (1985) WEBRip-2160p.mkv","11653748426","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","153","19391112","3840","1634","bt2020nc","bt2020","smpte2084","tv","left","N/A","1","N/A","yuv420p10le","Yes","10","4807.872000","23.976","eac3","ATSC A/52B (AC-3, E-AC-3)","6","48000","640000","N/A","1","eng","subrip","1","1697787185.268748","1697787185.268748","Yes","Non-standard resolution: 3840x1634 && High bit depth video: 10-bit && HDR content may require tone-mapping"
"/Volumes/media/media/movies/The Dark Knight (2008)/The Dark Knight (2008) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/The Dark Knight (2008)","The Dark Knight (2008) Remux-2160p SDR Handbrake.mkv","23012800228","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","20159553","3840","1600","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","9132.266000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723142064.4038486","1723142064.4038486","Yes","Unknown metadata: Some file information couldn't be determined && High bitrate (20.16 Mbps) may cause buffering && Non-standard resolution: 3840x1600"
"/Volumes/media/media/movies/The Dark Knight Rises (2012)/The Dark Knight Rises (2012) Remux-2160p Proper SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/The Dark Knight Rises (2012)","The Dark Knight Rises (2012) Remux-2160p Proper SDR Handbrake.mkv","24872542474","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","20161257","3840","2160","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","9869.441000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723177483.8261814","1723177483.8261814","Yes","Unknown metadata: Some file information couldn't be determined && High bitrate (20.16 Mbps) may cause buffering"
"/Volumes/media/media/movies/The Departed (2006)/The Departed (2006) Bluray-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/The Departed (2006)","The Departed (2006) Bluray-2160p SDR Handbrake.mkv","22870856529","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","20153282","3840","1608","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","9078.762000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723205013.5152514","1723205013.5152514","Yes","Unknown metadata: Some file information couldn't be determined && High bitrate (20.15 Mbps) may cause buffering && Non-standard resolution: 3840x1608"
"/Volumes/media/media/movies/The Emperor's New Groove (2000)/The Emperor's New Groove (2000) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/The Emperor's New Groove (2000)","The Emperor's New Groove (2000) Bluray-1080p.mkv","2305029463","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","3910355","1824","1080","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","4715.744000","23.976","dts, ac3","DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3)","6, 6","48000, 48000","1536000, 448000","N/A, N/A","2","eng, eng, nor","ass, ass, ass","3","1724588063.8400123","1724588063.8400123","Yes","Non-standard audio codec(s): dts && Non-standard resolution: 1824x1080"
