File	Extension	File Path	Filename	File Size	Container Format	Codec	Codec Long Name	Profile	Level	Bitrate	Width	Height	Color Space	Color Primaries	Color Transfer	Color Range	Chroma Location	Field Order	Refs	Bits per Raw Sample	Pixel Format	HDR	Bit Depth	Duration	Frame Rate	Audio Codecs	Audio Codec Long Names	Audio Channels	Audio Sample Rates	Audio Bitrates	Audio Bit Depth	Audio Stream Count	Subtitle Languages	Subtitle Formats	Subtitle Stream Count	Creation Date	Modification Date	Issue Detected	Issue Description	Unknown metadata	Non-standard video codec	Non-standard audio codec	Problematic subtitle format	High bitrate	Low bitrate	Non-standard resolution	Non-standard frame rate	High bit depth	HDR content	4K content	Complex video profile	Variable frame rate	Interlaced content	High subtitle stream count	Uncommon container format	Very high bitrate	Multiple audio streams
/Volumes/media/media/movies/American History X (1998)/American History X (1998) Bluray-1080p Proper.mkv	mkv	/Volumes/media/media/movies/American History X (1998)	American History X (1998) Bluray-1080p Proper.mkv	4822846540	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	120	5408718	1920	1080	N/A	N/A	N/A	tv	left	progressive	1	N/A	yuv420p	No	N/A	7133.440000	23.976	ac3	ATSC A/52A (AC-3)	6	48000	640000	N/A	1	eng, eng	subrip, subrip	2	1724543039.5581298	1724543039.5581298	No	No issues detected	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)/Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006) Bluray-1080p.mkv	mkv	/Volumes/media/media/movies/Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)	Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006) Bluray-1080p.mkv	3192534375	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	120	5079534	1920	1040	bt709	bt709	bt709	tv	left	progressive	1	N/A	yuv420p	No	N/A	5028.074000	23.976	dts	DCA (DTS Coherent Acoustics)	6	48000	N/A	24	1	eng	hdmv_pgs_subtitle	1	1724571635.8138232	1724571635.8138232	Yes	Non-standard audio codec(s): dts && Potentially problematic subtitle format(s): hdmv_pgs_subtitle && Non-standard resolution: 1920x1040	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/The Hunger Games Mockingjay - Part 2 (2015)/The Hunger Games Mockingjay - Part 2 (2015) Bluray-1080p.mkv	mkv	/Volumes/media/media/movies/The Hunger Games Mockingjay - Part 2 (2015)	The Hunger Games Mockingjay - Part 2 (2015) Bluray-1080p.mkv	3145854991	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	120	3062680	1920	800	N/A	N/A	N/A	tv	left	progressive	1	N/A	yuv420p	No	N/A	8217.258000	23.976	dts	DCA (DTS Coherent Acoustics)	6	48000	1536000	N/A	1	eng, tur	subrip, subrip	2	1724589939.3062067	1724589939.3062067	Yes	Non-standard audio codec(s): dts && Non-standard resolution: 1920x800	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/The Hunger Games Catching Fire (2013)/The Hunger Games Catching Fire (2013) Bluray-1080p Proper.mkv	mkv	/Volumes/media/media/movies/The Hunger Games Catching Fire (2013)	The Hunger Games Catching Fire (2013) Bluray-1080p Proper.mkv	3010306198	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	120	2744573	1920	1080	N/A	N/A	N/A	tv	left	progressive	1	N/A	yuv420p	No	N/A	8774.569000	23.976	dts	DCA (DTS Coherent Acoustics)	6	48000	1536000	N/A	1			0	1724615531.5946472	1724615531.5946472	Yes	Some file information couldn't be determined && Non-standard audio codec(s): dts	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/Good Will Hunting (1997)/Good Will Hunting (1997) Bluray-1080p Proper.mkv	mkv	/Volumes/media/media/movies/Good Will Hunting (1997)	Good Will Hunting (1997) Bluray-1080p Proper.mkv	7301132557	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	120	7692021	1920	1040	N/A	N/A	N/A	tv	left	progressive	1	N/A	yuv420p	No	N/A	7593.460000	23.976	dts, ac3, aac	DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3), AAC (Advanced Audio Coding)	6, 2, 2	48000, 48000, 48000	1536000, 192000, N/A	N/A, N/A, N/A	3			0	1724542099.4330494	1724542099.4330494	Yes	Some file information couldn't be determined && Non-standard audio codec(s): dts && Non-standard resolution: 1920x1040	True	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/Frozen II (2019)/Frozen II (2019) WEBDL-2160p.mkv	mkv	/Volumes/media/media/movies/Frozen II (2019)	Frozen II (2019) WEBDL-2160p.mkv	13457982925	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main 10	150	17392068	3840	2160	N/A	N/A	N/A	pc	left	N/A	1	N/A	yuv420p10le	No	10	6190.400000	23.976	eac3	ATSC A/52B (AC-3, E-AC-3)	6	48000	768000	N/A	1	eng, eng, cze, dan, gre, spa, fin, hun, ice, jpn, kor, dut, nor, pol, por, por, rum, slo, swe, tur, chi, chi, chi, spa, por	subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip	25	1710424352.0	1710424352.0	Yes	High bit depth video: 10-bit && High number of subtitle streams: 25	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False
/Volumes/media/media/movies/The Bourne Supremacy (2004)/The Bourne Supremacy (2004) WEBDL-2160p.mkv	mkv	/Volumes/media/media/movies/The Bourne Supremacy (2004)	The Bourne Supremacy (2004) WEBDL-2160p.mkv	20139472846	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main 10	150	24772896	3840	1632	N/A	N/A	N/A	tv	left	N/A	1	N/A	yuv420p10le	No	10	6503.712000	23.976	ac3	ATSC A/52A (AC-3)	6	48000	384000	N/A	1	eng	subrip	1	1697733230.8211727	1697733230.8211727	Yes	High bitrate (24.77 Mbps) may cause buffering && Non-standard resolution: 3840x1632 && High bit depth video: 10-bit	False	False	False	False	True	False	True	False	True	False	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/Live Free or Die Hard (2007)/Live Free or Die Hard (2007) WEBDL-2160p SDR Handbrake.mkv	mkv	/Volumes/media/media/movies/Live Free or Die Hard (2007)	Live Free or Die Hard (2007) WEBDL-2160p SDR Handbrake.mkv	18860871038	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	150	19538626	3836	1600	bt709	bt709	bt709	tv	topleft	N/A	1	N/A	yuv420p	No	N/A	7722.496000	23.976	aac	AAC (Advanced Audio Coding)	2	48000	N/A	N/A	1			0	1724638334.545264	1724638334.545264	Yes	Some file information couldn't be determined && Non-standard resolution: 3836x1600	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/Red Dragon (2002)/Red Dragon (2002) Bluray-2160p.mp4	mp4	/Volumes/media/media/movies/Red Dragon (2002)	Red Dragon (2002) Bluray-2160p.mp4	83930666622	mov,mp4,m4a,3gp,3g2,mj2	hevc (+2)	H.265 / HEVC (High Efficiency Video Coding) (+2)	Main 10 (+2)	153 (+2)	89761918	3840	2160	bt2020nc	bt2020	smpte2084	tv	topleft	N/A	1	N/A	yuv420p10le	Yes	10	7480.291667	24.000	eac3	ATSC A/52B (AC-3, E-AC-3)	6	48000	640000	N/A	1	eng	dvd_subtitle	1	1697880514.791669	1697880514.791669	Yes	Non-standard video codec: hevc (+2) && Potentially problematic subtitle format(s): dvd_subtitle && High bitrate (89.76 Mbps) may cause buffering && High bit depth video: 10-bit && HDR content may require tone-mapping	False	True	False	True	True	False	False	False	True	True	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/Hannibal (2001)/Hannibal (2001) Bluray-1080p.mkv	mkv	/Volumes/media/media/movies/Hannibal (2001)	Hannibal (2001) Bluray-1080p.mkv	7257389509	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	120	7361153	1920	1040	bt709	N/A	N/A	tv	left	progressive	1	N/A	yuv420p	No	N/A	7887.231000	23.976	dts	DCA (DTS Coherent Acoustics)	6	48000	N/A	24	1	chi, chi, chi, chi, chi, chi	hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle	6	1724542189.5559688	1724542189.5559688	Yes	Non-standard audio codec(s): dts && Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && Non-standard resolution: 1920x1040 && High number of subtitle streams: 6	False	False	True	True	False	False	True	False	False	False	False	False	False	False	True	False	False	False
